,text,is_cont
0,"Love him or loathe him, whether you like his chaotic journalism or not, you’ve got to give #ArnabGoswami credit for entrepreneurship. Launching 3 channels in a space of 3 years is an achievement. @BanglaRepublic goes live tomorrow at 8am even as he fights 100s of FIRs against him",0
1,"HC Extends Arnab’s Interim Protection in Abetment of Suicide Case

https://t.co/qiJGgy1mAL

#ArnabGoswami https://t.co/hXAgJWl1UJ",0
2,"Mumbai: HC extends Arnab's interim relief in Naik suicide case 

#Mumbai #ArnabGoswami #BombayHighCourt 
https://t.co/PVhhfR2Ls5",0
3,"#National: Shiv Sena MLA Pratap Sarnaik had submitted the breach of privilege notices against #ArnabGoswami and @KanganaTeam to the office of the Assembly Speaker on September 7
#EastMojo https://t.co/TXgjTP29p4",0
4,"#ArnabGoswami, who has denied charges levelled against him in the case, has sought the Bombay High Court to quash the FIR.

https://t.co/3jWQn5Rx2i",0
5,"Since we are seized of the matter, we grant the petitioner (Goswami) protection with regard to exemption from appearance till April 16 when we will hear the plea further, the court said in its order.

#ArnabGoswami #Mumbai

https://t.co/qzR7Od5mrQ",0
6,"The court was hearing a petition filed by ARG Outlier Media, challenging the FIR and the charge sheet filed by the city police for alleged manipulation of television rating points (TRP).

#ArnabGoswami #TRPScam

https://t.co/uQd81LaCZH",0
7,"The Bombay HC has also granted exemption for #ArnabGoswami from appearing before the Alibaug Magistrate on 10 March. 

https://t.co/1qbRxlSUT4",0
8,"#FreePressBulletin: Top 5 news updates of March 5, 2021

Script &amp; Voice: @gauraavkadam 

Producer &amp; Editor: @Roy_Shriya

#MamataBanerjee #WestBengalElections2021 #RakeshTikait #SushantSinghRajput #RheaChakraborty #ArnabGoswami #Sensex 

https://t.co/d12rSOgpDu",1
9,"Bombay HC exempts #ArnabGoswami from personal appearance before trial court in Anvay Naik suicide case.

https://t.co/zxQWwZVxcF",0
10,"The #BombayHighCourt, on Friday, granted #RepublicTV's Editor-in-Chief, #ArnabGoswami, exemption from personal appearance before an Alibaug court in the #AnvayNaik abetment to suicide case, till April 16.
Read more: https://t.co/MdThhIaMil https://t.co/MniNHHSzo0",0
11,TRP case: Interim relief to Arnab to continue till March 16  https://t.co/OappMtyp8z #ArnabGoswami,0
12,"The relief has been granted till April 16.

 #ArnabGoswami
https://t.co/nZE1DAiUsF",0
13,#ArnabGoswami gets exemption from appearance in #suicide abetment case https://t.co/p17WajKNv0,0
14,"Interior designer #AnvayNaik and his mother Kumud committed suicide in May 2018, allegedly because of non-payment of dues by firms of #ArnabGoswami and two other accused https://t.co/ETiIv2wYx3",1
15,"#MediaShot | Bombay High Court grants #ArnabGoswami appearance exemption till April 16 in abetment of suicide case

Read: https://t.co/LgFheGUIzI https://t.co/iePIg5Us9L",0
16,"Anvay Naik Suicide Case: #ArnabGoswami gets temporary relief as #BombayHighCourt grants him interim protection
-@NarsiBenwal  https://t.co/Y0gB1Bdu1x",0
17,"#RepublicTV Editor-in-Chief, #ArnabGoswami granted exemption from physical appearance in the Alibaug Court in #AnvayNaik Suicide Case by the Bombay High Court. Next hearing will take place on 16 April. https://t.co/GzHv9gLNCV",0
18,"Breaking - Bombay High Court grants Republic TV Editor-in-Chief, Arnab Goswami, exemption from personal appearance in the Alibaug Court, in Anvay Naik suicide case, till April 16. 

@republic #ArnabGoswami #AnvayNaik https://t.co/ArzjrhkW9D",0
19,"#BombayHighCourt will shortly begin hearing the plea filed by #ArnabGoswami assailing his arrest and detention by the Raigad police in the FIR accusing him of abetment to suicide of interior designer Anvay Naik and the subsequent chargesheet filed in the matter.

@republic https://t.co/A53NrPXKFH",0
20,"The Bombay High Court will continue hearing a petition by Republic TV Editor-in-Chief Arnab Goswami for quashing of abetment to suicide FIR/ charge sheet against him in Anvay Naik’s case.

#ArnabGoswami @republic https://t.co/uyGZzgUzv5",0
21,"The most intense reactions came from the families of several soldiers killed in the #PulwamaTerrorAttack in February 2019.

Anupama Katakam writes on #ArnabChatGate.

https://t.co/3eD44kbXZ4 #ArnabGoswami #replug",0
22,"Netizens link slipper display against Arnab Goswami, tweet shaming Sachin Tendulkar, Akshay Kumar, Ajay Devgn, Karan Johar to IT raids on #AnuragKashyap, #taapseepannu
#ArnabGoswami
https://t.co/WwEZd8OXrK",1
23,"#ArnabGoswami to appear before privilege committee today

@SanjayJog7 @CMOMaharashtra 

https://t.co/1HbFCSIJ24",1
24,On @republic tv with Shri #ArnabGoswami at 10 pm,0
25,His counsel argued that #WhatsApp chats between #ParthoDasgupta and journalist #ArnabGoswami mentioned in chargesheet were mere “loose talks” between two individuals https://t.co/kPZ8epCtJQ,1
26,"#TRP manipulation scam: #BombayHighCourt grants bail to former #BARC CEO #ParthoDasgupta 
#RepublicTV #ArnabGoswami 
https://t.co/Kf21CAN1LF",0
27,"#ArnabGoswami continues to roam free despite damning WhatsApp chats on security &amp; TRP manipulation, but it remains to be seen if his protectors in the Centre will continue to shield him.

By Anupama Katakam.

https://t.co/2S3T3G1izT #PressFreedom #Arnabgate #media #replug",1
